,label_eva,prediction_eva
0,6,1
1,5,7
2,8,4
3,8,2
4,4,5
5,3,2
6,8,5
7,6,2
8,6,2
9,9,3
10,2,8
11,6,6
12,4,4
13,3,3
14,11,1
15,9,4
16,7,0
17,7,2
18,6,5
19,6,2
20,7,2
21,6,7
22,6,1
23,10,4
24,8,2
25,4,7
26,12,5
27,8,1
28,6,2
29,7,3
30,10,3
31,4,2
32,5,1
33,8,4
34,8,0
35,8,0
36,4,3
37,3,2
38,9,3
39,6,4
40,8,2
41,4,1
42,4,6
43,8,6
44,12,2
45,8,6
46,13,4
47,9,4
48,7,3
49,5,4
50,5,0
51,3,5
52,3,2
53,5,5
54,21,2
55,7,1
56,9,3
57,7,2
58,7,2
59,6,2
60,4,2
61,10,2
62,7,6
63,4,7
64,6,2
65,10,1
66,4,5
67,9,2
68,4,1
69,7,1
70,4,2
71,6,4
72,2,5
73,6,2
74,8,2
75,7,5
76,8,2
77,7,2
78,11,0
79,13,1
80,13,3
81,1,2
82,11,1
83,4,2
84,11,1
85,5,1
86,5,7
87,4,7
88,6,2
89,6,2
90,5,3
91,3,4
92,2,3
93,5,2
94,8,7
95,5,5
96,5,2
97,4,5
98,8,5
99,4,3
100,3,1
101,2,2
102,12,2
103,5,4
104,8,2
105,0,2
106,5,3
107,7,2
108,8,2
109,5,1
110,3,6
111,9,1
112,10,4
113,3,3
114,7,1
115,2,1
116,8,3
117,5,2
118,4,2
119,10,4
120,9,2
121,6,4
122,14,0
123,2,6
124,8,2
125,3,6
126,9,6
127,8,3
128,7,4
129,9,3
130,3,2
131,8,6
132,6,1
133,6,1
134,4,2
135,14,3
136,10,2
137,6,6
138,4,2
139,7,5
140,7,2
141,12,4
142,8,3
143,7,1
144,7,3
145,7,5
146,7,4
147,5,2
148,6,3
149,10,5
150,14,1
151,5,6
152,14,4
153,17,1
154,5,2
155,9,2
156,4,3
157,5,2
158,4,6
159,7,3
160,7,2
161,9,4
162,9,6
163,6,7
164,10,2
165,7,3
166,5,1
167,12,3
168,9,8
169,7,7
170,5,2
171,5,4
172,7,3
173,4,6
174,5,5
175,8,2
176,6,3
177,7,2
178,7,3
179,8,2
180,9,4
181,9,3
182,7,2
183,8,1
184,8,1
185,8,1
186,5,1
187,3,5
188,3,6
189,20,0
190,5,4
191,9,1
192,5,6
193,7,2
194,7,6
195,10,4
196,4,1
197,4,5
198,16,2
199,6,2
200,9,0
201,7,2
202,11,2
203,3,2
204,5,3
205,4,4
206,11,2
207,3,3
208,9,0
209,5,2
210,4,0
211,11,2
212,5,1
213,3,6
214,7,2
215,9,3
216,8,4
217,7,5
218,7,1
219,6,4
220,3,0
221,5,3
222,9,2
223,4,5
224,10,1
225,11,0
226,8,5
227,10,0
228,4,0
229,7,6
230,6,4
231,9,5
232,4,2
233,7,4
234,7,0
235,8,3
236,11,6
237,4,2
238,3,3
239,12,1
240,4,4
241,4,6
242,4,3
243,6,4
244,11,4
245,3,2
246,6,2
247,2,2
248,8,2
249,6,2
250,10,4
251,6,7
252,3,5
253,3,3
254,3,3
255,8,2
256,10,2
257,8,7
258,5,2
259,7,5
260,3,2
261,6,1
262,3,2
263,4,5
264,4,2
265,12,5
266,15,0
267,7,7
268,5,4
269,4,4
270,7,3
271,6,5
272,5,4
273,8,5
274,3,1
275,4,2
276,5,4
277,13,1
278,8,6
279,4,2
280,7,5
281,6,2
282,6,6
283,8,1
284,18,1
285,4,2
286,8,3
287,6,2
288,6,2
289,4,6
290,4,7
291,4,2
292,5,7
293,10,5
294,2,2
295,6,2
296,7,3
297,12,4
298,4,8
299,7,2
300,6,6
301,5,2
302,9,4
303,5,6
304,5,4
305,4,7
306,8,0
307,3,6
308,14,2
309,5,3
310,3,4
311,14,0
312,13,0
313,6,5
314,5,2
315,4,4
316,9,4
317,7,3
318,3,2
319,9,1
320,5,2
321,2,1
322,0,1
323,9,4
324,7,2
325,7,4
326,7,2
327,6,3
328,8,2
329,5,5
330,7,2
331,13,2
332,10,4
333,4,5
334,8,7
335,5,5
336,8,2
337,16,2
338,7,2
339,8,4
340,6,5
341,8,2
342,6,0
343,17,1
344,2,2
345,10,5
346,4,6
347,7,5
348,4,2
349,12,1
350,4,7
351,5,2
352,8,3
353,6,6
354,5,4
355,9,3
356,3,6
357,6,1
358,4,2
359,7,0
360,10,2
361,8,5
362,5,2
363,7,4
364,5,2
365,13,8
366,5,3
367,5,5
368,6,0
369,2,2
370,6,3
371,8,3
372,3,2
373,5,7
374,4,2
375,7,2
376,4,5
377,5,2
378,8,3
379,9,2
380,5,7
381,7,7
382,8,0
383,4,1
384,6,5
385,4,3
386,2,2
387,6,4
388,6,2
389,2,2
390,4,7
391,5,2
392,8,2
393,4,2
394,6,1
395,4,0
396,4,6
397,6,2
398,4,1
399,5,3
400,4,2
401,3,2
402,6,2
403,5,2
404,4,6
405,5,6
406,10,4
407,8,2
408,4,5
409,4,3
410,3,3
411,1,4
412,6,1
413,1,3
414,1,2
415,11,4
416,10,2
417,12,3
418,8,5
419,2,4
420,7,6
421,2,1
422,11,2
423,4,1
424,6,7
425,8,2
426,5,2
427,3,1
428,7,5
429,4,5
430,7,5
431,4,3
432,6,2
433,3,1
434,4,5
435,7,3
436,10,0
437,8,5
438,12,3
439,7,4
440,4,2
441,1,1
442,5,2
443,8,1
444,5,7
445,20,1
446,6,7
447,5,2
448,5,1
449,5,2
450,7,3
451,8,2
452,4,8
453,6,2
454,6,2
455,11,3
456,5,7
457,6,4
458,8,3
459,4,3
460,6,2
461,5,3
462,5,6
463,8,3
464,6,0
465,7,5
466,8,4
467,10,2
468,7,6
469,7,7
470,8,8
471,7,3
472,4,1
473,8,5
474,7,4
475,3,6
476,8,5
477,8,2
478,8,2
479,6,2
480,4,7
481,9,4
482,18,5
483,5,3
484,2,4
485,19,2
486,8,1
487,4,4
488,3,5
489,10,0
490,8,5
491,10,2
492,11,2
493,9,3
494,5,5
495,4,1
496,9,7
497,3,3
498,9,3
499,10,5
