,label_eva,prediction_eva
0,6,1
1,5,4
2,8,8
3,8,7
4,4,1
5,3,6
6,8,2
7,6,1
8,6,2
9,9,8
10,2,0
11,6,3
12,4,5
13,3,0
14,11,4
15,9,4
16,7,3
17,7,6
18,6,4
19,6,3
20,7,1
21,6,3
22,6,2
23,10,3
24,8,4
25,4,4
26,12,4
27,8,3
28,6,5
29,7,2
30,10,7
31,4,4
32,5,0
33,8,2
34,8,2
35,8,3
36,4,7
37,3,0
38,9,6
39,6,4
40,8,4
41,4,1
42,4,0
43,8,6
44,12,3
45,8,5
46,13,4
47,9,4
48,7,1
49,5,7
50,5,7
51,3,3
52,3,8
53,5,2
54,21,3
55,7,4
56,9,5
57,7,2
58,7,8
59,6,1
60,4,3
61,10,0
62,7,4
63,4,8
64,6,1
65,10,5
66,4,8
67,9,0
68,4,7
69,7,1
70,4,6
71,6,3
72,2,4
73,6,7
74,8,2
75,7,3
76,8,6
77,7,3
78,11,3
79,13,4
80,13,6
81,1,7
82,11,2
83,4,4
84,11,2
85,5,6
86,5,3
87,4,6
88,6,0
89,6,7
90,5,7
91,3,6
92,2,4
93,5,1
94,8,2
95,5,2
96,5,2
97,4,0
98,8,2
99,4,2
100,3,6
101,2,2
102,12,4
103,5,2
104,8,8
105,0,2
106,5,1
107,7,6
108,8,6
109,5,6
110,3,8
111,9,3
112,10,1
113,3,2
114,7,3
115,2,3
116,8,7
117,5,6
118,4,3
119,10,6
120,9,3
121,6,4
122,14,1
123,2,2
124,8,2
125,3,1
126,9,8
127,8,3
128,7,1
129,9,5
130,3,2
131,8,2
132,6,0
133,6,6
134,4,1
135,14,7
136,10,3
137,6,4
138,4,2
139,7,6
140,7,2
141,12,9
142,8,2
143,7,2
144,7,8
145,7,4
146,7,3
147,5,2
148,6,8
149,10,3
150,14,5
151,5,6
152,14,1
153,17,3
154,5,6
155,9,6
156,4,1
157,5,3
158,4,2
159,7,6
160,7,4
161,9,5
162,9,0
163,6,8
164,10,6
165,7,0
166,5,3
167,12,8
168,9,4
169,7,1
170,5,0
171,5,2
172,7,3
173,4,5
174,5,4
175,8,6
176,6,8
177,7,5
178,7,0
179,8,1
180,9,2
181,9,4
182,7,0
183,8,2
184,8,4
185,8,2
186,5,8
187,3,7
188,3,2
189,20,7
190,5,3
191,9,7
192,5,4
193,7,4
194,7,6
195,10,7
196,4,3
197,4,2
198,16,2
199,6,4
200,9,2
201,7,3
202,11,2
203,3,8
204,5,2
205,4,2
206,11,6
207,3,3
208,9,8
209,5,5
210,4,6
211,11,7
212,5,4
213,3,2
214,7,2
215,9,0
216,8,7
217,7,6
218,7,7
219,6,6
220,3,6
221,5,8
222,9,0
223,4,4
224,10,8
225,11,2
226,8,2
227,10,0
228,4,4
229,7,2
230,6,4
231,9,6
232,4,4
233,7,3
234,7,3
235,8,3
236,11,6
237,4,4
238,3,2
239,12,3
240,4,5
241,4,2
242,4,3
243,6,3
244,11,3
245,3,4
246,6,6
247,2,6
248,8,2
249,6,5
250,10,3
251,6,5
252,3,4
253,3,2
254,3,0
255,8,4
256,10,2
257,8,5
258,5,1
259,7,4
260,3,2
261,6,5
262,3,3
263,4,6
264,4,2
265,12,3
266,15,4
267,7,3
268,5,3
269,4,0
270,7,7
271,6,2
272,5,1
273,8,2
274,3,7
275,4,8
276,5,7
277,13,1
278,8,4
279,4,6
280,7,5
281,6,2
282,6,2
283,8,3
284,18,8
285,4,8
286,8,3
287,6,3
288,6,7
289,4,0
290,4,1
291,4,4
292,5,3
293,10,0
294,2,3
295,6,8
296,7,1
297,12,3
298,4,2
299,7,6
300,6,2
301,5,4
302,9,1
303,5,3
304,5,8
305,4,2
306,8,4
307,3,2
308,14,8
309,5,8
310,3,7
311,14,3
312,13,3
313,6,4
314,5,7
315,4,7
316,9,0
317,7,3
318,3,3
319,9,6
320,5,5
321,2,7
322,0,3
323,9,7
324,7,4
325,7,0
326,7,3
327,6,2
328,8,0
329,5,5
330,7,6
331,13,4
332,10,0
333,4,6
334,8,4
335,5,1
336,8,2
337,16,1
338,7,4
339,8,3
340,6,2
341,8,0
342,6,2
343,17,3
344,2,2
345,10,2
346,4,2
347,7,0
348,4,1
349,12,3
350,4,3
351,5,8
352,8,6
353,6,4
354,5,2
355,9,8
356,3,5
357,6,4
358,4,4
359,7,7
360,10,7
361,8,0
362,5,1
363,7,8
364,5,2
365,13,2
366,5,8
367,5,4
368,6,4
369,2,5
370,6,3
371,8,1
372,3,2
373,5,3
374,4,2
375,7,5
376,4,2
377,5,8
378,8,2
379,9,1
380,5,7
381,7,8
382,8,3
383,4,4
384,6,3
385,4,2
386,2,2
387,6,2
388,6,7
389,2,0
390,4,3
391,5,1
392,8,2
393,4,4
394,6,1
395,4,3
396,4,1
397,6,0
398,4,2
399,5,2
400,4,4
401,3,2
402,6,4
403,5,7
404,4,2
405,5,3
406,10,3
407,8,3
408,4,4
409,4,1
410,3,3
411,1,3
412,6,3
413,1,1
414,1,1
415,11,1
416,10,4
417,12,6
418,8,2
419,2,3
420,7,2
421,2,6
422,11,5
423,4,6
424,6,8
425,8,3
426,5,3
427,3,6
428,7,2
429,4,7
430,7,6
431,4,1
432,6,2
433,3,4
434,4,8
435,7,3
436,10,3
437,8,2
438,12,8
439,7,5
440,4,0
441,1,4
442,5,6
443,8,8
444,5,3
445,20,2
446,6,3
447,5,2
448,5,6
449,5,4
450,7,3
451,8,8
452,4,6
453,6,4
454,6,4
455,11,6
456,5,1
457,6,8
458,8,8
459,4,6
460,6,1
461,5,2
462,5,0
463,8,2
464,6,8
465,7,4
466,8,4
467,10,3
468,7,7
469,7,2
470,8,8
471,7,2
472,4,2
473,8,2
474,7,2
475,3,3
476,8,7
477,8,2
478,8,3
479,6,8
480,4,4
481,9,8
482,18,5
483,5,1
484,2,3
485,19,8
486,8,8
487,4,2
488,3,2
489,10,3
490,8,4
491,10,3
492,11,2
493,9,2
494,5,3
495,4,2
496,9,2
497,3,2
498,9,4
499,10,2
