,label_eva,prediction_eva
0,6,9
1,5,8
2,8,7
3,8,4
4,4,8
5,3,3
6,8,8
7,6,2
8,6,2
9,9,5
10,2,3
11,6,6
12,4,6
13,3,3
14,11,2
15,9,7
16,7,5
17,7,3
18,6,3
19,6,5
20,7,2
21,6,4
22,6,8
23,10,5
24,8,3
25,4,8
26,12,9
27,8,6
28,6,3
29,7,5
30,10,5
31,4,3
32,5,5
33,8,8
34,8,3
35,8,5
36,4,3
37,3,4
38,9,6
39,6,3
40,8,4
41,4,4
42,4,9
43,8,8
44,12,3
45,8,8
46,13,5
47,9,5
48,7,6
49,5,4
50,5,5
51,3,6
52,3,3
53,5,4
54,21,4
55,7,2
56,9,7
57,7,4
58,7,2
59,6,3
60,4,7
61,10,4
62,7,9
63,4,8
64,6,5
65,10,4
66,4,8
67,9,6
68,4,5
69,7,6
70,4,5
71,6,4
72,2,8
73,6,2
74,8,8
75,7,9
76,8,3
77,7,5
78,11,5
79,13,3
80,13,7
81,1,3
82,11,3
83,4,8
84,11,5
85,5,4
86,5,9
87,4,8
88,6,4
89,6,3
90,5,3
91,3,11
92,2,4
93,5,4
94,8,9
95,5,6
96,5,2
97,4,8
98,8,11
99,4,7
100,3,4
101,2,4
102,12,6
103,5,7
104,8,4
105,0,3
106,5,6
107,7,5
108,8,6
109,5,3
110,3,8
111,9,3
112,10,6
113,3,4
114,7,5
115,2,3
116,8,4
117,5,3
118,4,9
119,10,4
120,9,3
121,6,7
122,14,2
123,2,7
124,8,5
125,3,8
126,9,8
127,8,6
128,7,6
129,9,7
130,3,5
131,8,6
132,6,6
133,6,4
134,4,4
135,14,2
136,10,6
137,6,8
138,4,6
139,7,4
140,7,3
141,12,8
142,8,5
143,7,5
144,7,6
145,7,9
146,7,5
147,5,6
148,6,8
149,10,6
150,14,7
151,5,9
152,14,5
153,17,3
154,5,5
155,9,3
156,4,6
157,5,5
158,4,7
159,7,5
160,7,6
161,9,5
162,9,6
163,6,5
164,10,6
165,7,4
166,5,3
167,12,6
168,9,7
169,7,9
170,5,3
171,5,6
172,7,5
173,4,10
174,5,9
175,8,6
176,6,6
177,7,8
178,7,7
179,8,2
180,9,5
181,9,6
182,7,6
183,8,4
184,8,4
185,8,4
186,5,6
187,3,5
188,3,4
189,20,2
190,5,5
191,9,5
192,5,8
193,7,5
194,7,8
195,10,8
196,4,3
197,4,8
198,16,4
199,6,2
200,9,6
201,7,3
202,11,4
203,3,4
204,5,6
205,4,5
206,11,7
207,3,6
208,9,4
209,5,5
210,4,3
211,11,5
212,5,6
213,3,5
214,7,2
215,9,8
216,8,6
217,7,9
218,7,7
219,6,4
220,3,3
221,5,4
222,9,3
223,4,3
224,10,7
225,11,5
226,8,9
227,10,5
228,4,4
229,7,9
230,6,6
231,9,6
232,4,2
233,7,4
234,7,4
235,8,5
236,11,8
237,4,6
238,3,3
239,12,3
240,4,3
